Ath_IME_k5_coords300_500_complete_primary	Ath_IME_k5_coords300_500_complete_secondary	Ath_IME_k5_coords300_500_incomplete_primary	Ath_IME_k5_coords300_500_incomplete_secondary	Ath_IME_k5_coords400_1000_complete_primary	Ath_IME_k5_coords400_1000_complete_secondary	Ath_IME_k5_coords400_1000_incomplete_primary	Ath_IME_k5_coords400_1000_incomplete_secondary	Ath_IME_k5_coords400_400_complete_primary	Ath_IME_k5_coords400_400_complete_secondary	Ath_IME_k5_coords400_400_incomplete_primary	Ath_IME_k5_coords400_400_incomplete_secondary	Ath_IME_k5_position12_complete_primary	Ath_IME_k5_position12_complete_secondary	Ath_IME_k5_position12_incomplete_primary	Ath_IME_k5_position12_incomplete_secondary	Ath_IME_k5_position13_complete_primary	Ath_IME_k5_position13_complete_secondary	Ath_IME_k5_position13_incomplete_primary	Ath_IME_k5_position13_incomplete_secondary	Ath_IME_k5_position14_complete_primary	Ath_IME_k5_position14_complete_secondary	Ath_IME_k5_position14_incomplete_primary	Ath_IME_k5_position14_incomplete_secondary	Ath_IME_k6_coords300_500_complete_primary	Ath_IME_k6_coords300_500_complete_secondary	Ath_IME_k6_coords300_500_incomplete_primary	Ath_IME_k6_coords300_500_incomplete_secondary	Ath_IME_k6_coords400_1000_complete_primary	Ath_IME_k6_coords400_1000_complete_secondary	Ath_IME_k6_coords400_1000_incomplete_primary	Ath_IME_k6_coords400_1000_incomplete_secondary	Ath_IME_k6_coords400_400_complete_primary	Ath_IME_k6_coords400_400_complete_secondary	Ath_IME_k6_coords400_400_incomplete_primary	Ath_IME_k6_coords400_400_incomplete_secondary	Ath_IME_k6_position12_complete_primary	Ath_IME_k6_position12_complete_secondary	Ath_IME_k6_position12_incomplete_primary	Ath_IME_k6_position12_incomplete_secondary	Ath_IME_k6_position13_complete_primary	Ath_IME_k6_position13_complete_secondary	Ath_IME_k6_position13_incomplete_primary	Ath_IME_k6_position13_incomplete_secondary	Ath_IME_k6_position14_complete_primary	Ath_IME_k6_position14_complete_secondary	Ath_IME_k6_position14_incomplete_primary	Ath_IME_k6_position14_incomplete_secondary	
10.27	10.27	6.16	6.42	8.55	8.52	5.45	5.63	6.27	6.31	5.27	5.48	6.09	6.16	4.33	4.49	6.41	6.50	5.80	5.97	6.50	6.58	5.90	6.05	10.69	10.66	9.02	9.39	9.86	9.77	8.16	8.36	9.46	9.47	8.18	8.47	7.51	7.54	6.78	6.92	7.98	8.03	7.23	7.39	8.08	8.14	7.35	7.52	
39.95	39.83	30.20	31.44	29.83	30.39	22.80	24.32	28.95	29.34	22.50	23.73	18.93	20.11	15.43	17.74	19.68	20.86	17.46	18.59	19.75	20.73	17.67	18.66	46.98	47.94	35.50	37.65	33.58	34.60	24.99	27.13	33.65	34.35	24.58	26.83	21.60	23.77	17.80	19.62	22.60	24.73	19.64	21.90	22.47	24.57	19.64	22.17	
2.30	2.13	1.60	1.63	1.44	1.39	1.14	1.15	1.40	1.37	1.13	1.15	0.00	1.06	0.00	0.00	1.07	1.10	0.00	0.00	1.08	1.11	0.00	0.00	2.02	1.91	1.22	1.24	1.19	1.15	0.00	0.00	1.13	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
19.28	19.44	14.20	15.45	14.01	14.16	8.11	8.77	13.23	14.14	7.60	7.85	6.39	7.40	4.64	5.61	6.71	7.76	5.13	5.90	6.81	7.13	5.66	5.94	18.60	18.28	12.02	13.96	9.83	10.61	8.27	9.78	9.92	9.31	6.98	8.02	7.58	7.29	3.51	4.61	8.14	7.76	5.04	5.12	8.26	7.64	5.06	6.60	
2.00	1.99	0.00	0.00	1.77	1.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
1.88	1.86	0.54	1.36	1.44	1.54	0.00	0.00	0.58	1.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.23	0.00	0.00	1.99	1.97	0.79	1.29	1.54	1.59	0.00	0.00	0.78	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.00	0.00	0.00	0.78	0.00	0.00	0.00	
4.90	4.11	0.00	0.00	2.66	2.45	0.00	0.00	1.05	1.63	0.00	0.00	0.00	0.00	0.74	0.73	0.81	0.78	1.13	0.99	1.01	0.84	1.25	1.19	0.00	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.00	0.85	0.00	0.91	0.87	
16.16	16.50	12.40	13.97	13.43	15.47	9.32	9.74	10.48	10.77	7.82	9.46	8.50	8.58	6.71	6.84	9.22	10.13	8.29	8.35	9.33	10.18	8.39	8.82	14.69	16.16	11.63	11.94	12.40	13.43	9.86	10.71	11.46	11.28	8.51	9.57	8.25	8.18	6.44	6.46	9.72	9.15	7.31	8.54	9.97	9.32	7.47	8.67	
0.79	0.78	1.63	1.56	0.00	0.00	1.42	1.39	0.00	0.00	1.38	0.00	0.00	0.00	1.78	1.75	1.96	1.87	2.50	2.41	2.46	2.01	2.77	2.63	0.00	0.00	1.79	1.41	0.00	0.00	1.16	1.17	0.00	0.00	1.23	1.12	0.00	0.00	0.00	0.00	0.00	0.00	2.31	1.13	2.39	0.00	2.55	2.45	
6.57	6.40	4.02	4.06	4.59	4.50	3.29	3.34	3.81	3.41	3.28	3.01	3.44	3.49	2.29	2.50	4.28	4.29	3.77	3.86	4.37	4.68	3.83	3.89	6.99	7.38	4.40	5.25	5.48	5.44	3.73	4.00	4.33	3.96	3.36	3.50	3.86	3.21	2.49	2.64	5.10	4.90	4.19	4.34	5.15	5.17	4.22	4.36	
4.42	4.36	2.42	2.52	2.32	3.56	1.06	1.09	2.30	2.33	1.01	1.05	0.86	0.91	0.71	0.86	0.90	0.95	0.85	0.91	0.92	0.96	0.88	0.92	3.56	3.55	1.08	3.12	1.03	1.10	0.95	1.01	0.98	1.05	0.89	0.96	0.57	0.79	0.00	0.55	0.63	0.84	0.59	0.79	0.65	0.86	0.60	0.81	
26.91	24.83	18.29	19.36	17.89	18.75	11.18	12.03	19.00	18.69	11.57	11.73	9.26	9.12	9.09	9.38	10.49	10.30	9.77	9.54	10.31	10.27	9.88	10.00	29.90	26.24	18.56	19.31	15.86	15.40	12.40	12.44	14.94	14.41	11.79	12.14	9.38	10.96	7.78	7.12	11.45	11.64	8.90	8.76	12.32	11.54	9.25	9.58	
21.39	20.36	14.42	14.34	13.96	13.79	10.54	10.88	13.03	13.44	10.46	10.83	6.21	6.32	5.45	5.79	7.09	7.42	6.17	6.36	7.16	7.42	6.25	6.40	21.01	20.81	14.02	15.81	11.15	11.14	8.59	8.68	12.66	10.50	8.20	8.44	7.64	7.72	5.62	5.81	8.51	9.54	6.56	6.58	8.52	9.57	6.40	7.90	
8.54	8.41	5.32	5.48	7.20	7.05	4.72	4.90	6.32	6.79	4.39	4.75	4.24	4.37	3.26	3.50	4.61	4.75	3.55	3.86	4.60	4.71	3.56	3.86	7.21	8.08	5.69	6.16	5.94	6.06	4.18	4.43	5.88	6.01	4.08	4.41	3.60	3.96	2.73	2.86	3.79	4.16	2.86	3.01	3.76	4.11	2.57	3.35	
2.70	2.67	2.41	2.46	2.33	2.32	2.17	2.20	2.17	2.20	2.01	2.08	1.93	1.96	1.79	1.84	2.06	2.07	2.30	1.98	2.48	2.11	3.55	2.42	6.23	6.51	4.71	5.86	2.50	2.49	2.26	2.32	2.30	2.36	2.07	2.18	1.98	1.98	1.45	1.84	2.16	5.18	1.98	2.00	2.20	5.23	2.03	4.98	
